,abstract
0,A power drill that contains a battery but when the battery is discharged it can also run on conventional fuel like kerosene.
1,A mechanical keyboard which has adjustable tactile feedback. The tactile response is adjusted by a stress plate.
2,A bluetooth speaker that connects with a proximal device without explicit pairing process. It checks which device has recently turned its bluetooth on and connects to it.
3,A chair that estimates the height of the person sitting on it by measuring the angle at which the person's legs are inclined. Then it slowly adjusts its height to a level most comfortable for the user. The height adjustment is so slow that it is cannot be noticed by the person.
4,A military surveillance drone that captures video footage. It can make a determination that the drone device has been captured and upon making this determination it destroys its data to make it unrecoverable.
5,"A plant pot that has a moisture sensor associated with it. The moisture sensor checks the soil moisture at predetermined intervals and when the level drops below a certain threshold, it actuates a sprinkler value for watering the pot."
6,"A virtual mouse system that tracks a user's hand movement to control a pointer on thes screen. The system can also detect if the user is holding a pointing object, e.g., a stylus or a pencil, in response to which it tracks the object instead of the user's hand to control the pointer."
7,A wallpaper that has been coated with an ink that is sensitive to ambient temperature and changes its color with temperature changes.
8,A plant watering system that uses a computer vision system to identify the plants. It has a backend database that contains information about how much water do different species of plants require. It contains a control module to provides appropriate amount of water to each plant based on its specific requirements.
9,An speech correction system that diagnoses the issues associated with the speech of a non-native speaker and then corrects the non-native accent in real time so that the corrected speech sounds like a native speaker's speech.
10,"A power factor correction system that has a number of capacitor banks, as subset of which are automatically turned on or off depending on the value of the degree to which the power factor is lagging in the system."
11,"A smart watch that determines that the wearer is asleep and monitors the heart rate of the wearer. If the heart rate increases, which can happen when the person is having a bad dream, it alerts the user through acoustic or tactile feedback to wake him up."
12,A pen's nib has a micro-sensor to detect whether the surface in contact is paper or an electronic display screen. It also has a micro-actuator valve which opens when it is detected that the surface is paper and remains closed otherwise. This allows the pen to be used both as a stylus as well as a writing instrument.
13,A computer vision system that can establish a natural language question-answering dialog with a user on the objects recognized within an image.
14,A water bottle that keeps track of the time intervals passed after its user last drank water from it. It connects with the users computer and sends a notification to drink water after a threshold amount of time. This is to ensure that the person stays hydrated.
15,"An intelligent shoe that has embedded within its sole an array of sensors. These sensors monitor the movement of the person and over time creates a profile of the wearer. When the movement deviates too much from the normal profile, the user is alerted."
16,A workplace timer app that initiates work and break intervals for a person to follow. It reminds users to take appropriate breaks. The user has an option to override the app's suggestions. The app keeps tracks of the degree of user's compliance and analyzes the data to determine the optimum lengths of work and break intervals.
